WORD COUNT,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,Average Word Length,Syllable_Count,Complex_Word_Count,Number_of_Sentences,PERSONAL PRONOUNS,Average Sentence Length,Percentage of Complex words,Fog Index,AVG NUMBER OF WORDS PER SENTENCE
3096,20,15,0.14285713877551032,0.010667479423752674,1.3084625322997416,1175,227,31,6,99.87096774193549,0.0733204134366925,39.97771526214888,156.1290322580645
6906,60,38,0.22448979362765517,0.013101604276323314,1.4225311323486822,2862,482,93,5,74.25806451612904,0.06979438169707501,29.731143559130448,127.02150537634408
2956,44,3,0.8723404069714807,0.014930114353580015,1.2899188092016238,1092,222,47,1,62.8936170212766,0.07510148849797023,25.187487403909827,96.46808510638297
1849,6,1,0.7142856122449125,0.0036026762719492144,1.2395889670091942,627,108,18,6,102.72222222222223,0.058409951325040566,41.11225286941891,151.83333333333334
3293,22,9,0.4193548251821024,0.008814330392716995,1.322805952019435,1258,231,35,2,94.08571428571429,0.07014880048587914,37.66234523448007,149.45714285714286
2437,16,8,0.333333319444445,0.009419152272598449,1.1953221173574067,856,186,22,5,110.77272727272727,0.07632334837915469,44.33962024844257,157.3181818181818
1723,18,9,0.3333333209876548,0.014300847450052516,1.38827626233314,653,125,30,12,57.43333333333333,0.07254788160185723,23.002352485974075,94.66666666666667
1078,8,0,0.9999998750000157,0.006986899557216681,1.1465677179962894,370,79,12,1,89.83333333333333,0.07328385899814471,35.96264687693259,121.58333333333333
2998,26,34,-0.13333333111111115,0.018126888212046256,1.4352901934623081,1227,216,57,61,52.59649122807018,0.07204803202134756,21.067415704036613,90.71929824561404
996,12,2,0.7142856632653098,0.013157894724475662,1.2811244979919678,370,77,12,6,83.0,0.07730923694779117,33.23092369477912,127.16666666666667
3518,35,11,0.5217391190926278,0.01243915629733933,1.2120523024445709,1229,274,36,16,97.72222222222223,0.0778851620238772,39.120042953698444,139.19444444444446
823,4,6,-0.19999998000000202,0.011025358311989681,1.3353584447144593,303,51,10,3,82.3,0.061968408262454436,32.94478736330498,132.3
1491,12,25,-0.35135134185536915,0.022560975595999403,1.4587525150905432,653,111,22,4,67.77272727272727,0.0744466800804829,27.138869581123103,119.63636363636364
7730,29,48,-0.24675324354865918,0.00948626339663838,1.2686934023285898,2817,554,76,19,101.71052631578948,0.07166882276843467,40.71287805542317,152.5
6110,45,22,0.34328357696591677,0.010266625802901221,1.436824877250409,2563,413,71,20,86.05633802816901,0.06759410801963993,34.449572854475456,149.2112676056338
5702,37,28,0.138461536331361,0.010620915030944294,1.339003858295335,2179,375,69,12,82.6376811594203,0.06576639775517362,33.08137902287019,132.71014492753622
2948,27,7,0.5882352768166096,0.010381679386142999,1.4799864314789688,1271,206,69,64,42.72463768115942,0.06987788331071913,17.117806225788055,76.82608695652173
4540,44,7,0.7254901818531337,0.010271903321193977,1.5359030837004406,2043,337,60,52,75.66666666666667,0.07422907488986784,30.296358296622618,140.9
1817,32,6,0.6842105083102499,0.019719771655568357,1.4369840396257567,796,133,18,15,100.94444444444444,0.07319757842597689,40.40705680914817,174.66666666666666
7008,45,15,0.4999999916666668,0.008134490237508882,1.247574200913242,2525,501,67,4,104.59701492537313,0.07148972602739725,41.867401860560214,155.16417910447763
3528,26,69,-0.45263157418282557,0.02388735226957824,1.477891156462585,1483,239,68,9,51.88235294117647,0.0677437641723356,20.780038682139523,92.19117647058823
3819,57,23,0.4249999946875001,0.019011406839588543,1.4653050536789736,1571,216,75,68,50.92,0.056559308719560095,20.390623723487824,90.46666666666667
4191,20,27,-0.14893616704391135,0.010564171721608413,1.283941780004772,1427,243,47,13,89.17021276595744,0.05798138869005011,35.691277661859,137.59574468085106
4829,25,22,0.06382978587596201,0.00904367904386306,1.2824601366742596,1759,346,63,14,76.65079365079364,0.07165044522675502,30.68897763840816,116.5079365079365
3644,25,76,-0.5049504900499951,0.024700415743531323,1.471185510428101,1526,250,64,9,56.9375,0.06860592755214051,22.80244237102086,100.578125
2769,23,8,0.4838709521331951,0.010392222591219503,1.3351390393643914,1056,193,32,8,86.53125,0.06970025279884434,34.64038010111954,138.78125
1457,11,6,0.2941176297577865,0.011074918559560313,1.2663006177076184,527,98,13,6,112.07692307692308,0.06726149622512011,44.857673829259284,169.6153846153846
3542,27,18,0.19999999555555567,0.012251565474475479,1.2250141163184642,1236,252,26,9,136.23076923076923,0.07114624505928854,54.52076619033141,197.76923076923077
5092,24,33,-0.1578947340720222,0.01049723756712758,1.3150039277297723,1863,375,58,22,87.79310344827586,0.07364493322859388,35.14669935260178,137.44827586206895
15224,23,178,-0.7711442747704265,0.012123039806265196,1.1628349973725696,4900,878,245,3,62.138775510204084,0.05767209668943773,24.87857904275741,86.65714285714286
6868,39,49,-0.11363636234504133,0.012025143480182406,1.340564938846826,2597,483,85,20,80.8,0.07032615026208504,32.348130460104834,129.52941176470588
7102,31,63,-0.34042552829334544,0.012603915257092528,1.2220501267248662,2427,523,62,10,114.54838709677419,0.07364122782314841,45.84881132983894,164.82258064516128
808,6,1,0.7142856122449125,0.00818713449334838,1.2933168316831682,300,54,9,2,89.77777777777777,0.06683168316831684,35.93784378437844,139.22222222222223
3309,32,4,0.7777777561728402,0.010101010098175923,1.4113025083106678,1296,220,40,10,82.725,0.06648534300392868,33.116594137201574,139.35
6341,38,34,0.05555555478395063,0.010318142732829156,1.4947169216211953,2729,459,120,29,52.84166666666667,0.07238605898123325,21.16562109025916,94.70833333333333
6748,47,14,0.5409835976887934,0.008424250792925804,1.321724955542383,2561,474,86,23,78.46511627906976,0.07024303497332543,31.414143725617237,123.94186046511628
4459,31,30,0.016393442354205864,0.01303418803140295,1.2978246243552365,1603,298,49,22,91.0,0.06683112805561785,36.42673245122224,141.08163265306123
7813,18,41,-0.38983050186727963,0.007201269375417885,1.2239856649174452,2808,606,65,4,120.2,0.07756303596569819,48.11102521438628,175.6153846153846
4162,19,42,-0.3770491741467349,0.013965201462004303,1.2722248918789043,1523,302,46,11,90.47826086956522,0.07256126862085535,36.22032885527443,137.2826086956522
4552,38,45,-0.08433734838147773,0.017018659008197937,1.390597539543058,1795,312,74,12,61.513513513513516,0.06854130052724078,24.632821925616305,102.8108108108108
4347,25,26,-0.0196078427527874,0.011226062071048632,1.358638141246837,1750,310,36,11,120.75,0.07131354957441914,48.32852541982977,196.38888888888889
5693,21,33,-0.22222221810699597,0.008776206726998829,1.187071842613736,1909,360,54,4,105.42592592592592,0.06323555243281223,42.1956645913435,148.24074074074073
944,7,3,0.39999996000000404,0.009881422915136934,1.3072033898305084,356,63,11,2,85.81818181818181,0.06673728813559322,34.35396764252697,135.0
4448,31,44,-0.17333333102222226,0.01578282827950698,1.2965377697841727,1615,279,59,47,75.38983050847457,0.06272482014388489,30.181022131447385,117.66101694915254
2926,10,25,-0.428571416326531,0.011164274318607887,1.242652084757348,1024,188,33,3,88.66666666666667,0.06425153793574846,35.49236728184097,131.24242424242425
5174,31,55,-0.2790697641968632,0.015768243488124632,1.2307692307692308,1869,414,52,2,99.5,0.08001546192500966,39.83200618477001,145.26923076923077
3693,25,35,-0.16666666388888896,0.015247776362071723,1.505009477389656,1581,251,41,20,90.07317073170732,0.06796642296236122,36.05645486186787,163.4390243902439
1055,3,0,0.9999996666667778,0.002724795637852138,1.1232227488151658,339,72,7,2,150.71428571428572,0.06824644549763033,60.31301286391334,199.71428571428572
2297,14,3,0.6470587854671302,0.006819093458957444,1.3108402263822376,873,174,29,8,79.20689655172414,0.07575097953852851,31.71305901250507,124.6896551724138
4120,32,52,-0.238095235260771,0.01955307262114686,1.2825242718446601,1509,291,32,7,128.75,0.07063106796116504,51.52825242718447,196.03125
2181,32,22,0.18518518175583,0.022528160190851833,1.6033929390187986,1001,134,33,8,66.0909090909091,0.0614397065566254,26.46093951898629,130.03030303030303
4698,9,38,-0.6170212634676328,0.009580105990709313,1.2562792677735206,1599,291,50,1,93.96,0.06194125159642401,37.60877650063857,140.04
4456,16,31,-0.31914892937981004,0.010023459157597897,1.3289946140035906,1623,309,54,21,82.51851851851852,0.06934470377019748,33.03514528891549,129.90740740740742
4802,30,47,-0.2207792179119582,0.01519037285160971,1.2313619325281133,1645,320,52,7,92.34615384615384,0.06663890045814244,36.9651170986448,134.48076923076923
3337,20,21,-0.024390243307555043,0.011581920900683074,1.3386275097392868,1310,248,36,7,92.69444444444444,0.0743182499250824,37.10750507774781,147.94444444444446
6130,46,46,0.0,0.014256934756817458,1.3185970636215334,2368,431,72,17,85.13888888888889,0.0703099510603589,34.0836795359797,134.80555555555554
6653,20,38,-0.31034482223543414,0.008197879857498532,1.231474522771682,2389,474,63,8,105.60317460317461,0.07124605441154366,42.269768263034464,154.95238095238096
2905,27,25,0.03846153772189351,0.017478991590763365,1.4316695352839932,1203,173,14,11,207.5,0.059552495697074014,83.02382099827884,364.42857142857144
7533,36,63,-0.27272726997245184,0.012445003141113135,1.2741271737687507,2687,494,67,7,112.43283582089552,0.06557812292579318,44.99936557752853,170.23880597014926
4146,35,54,-0.21348314366872873,0.019449300695050412,1.4821514712976362,1763,269,79,14,52.48101265822785,0.0648818137964303,21.018357788809713,94.44303797468355
1919,11,14,-0.11999999520000018,0.01224289911251572,1.1631057842626369,650,150,19,0,101.0,0.0781657113079729,40.43126628452319,138.47368421052633
9942,44,88,-0.3333333308080808,0.01256544502498187,1.1870850935425468,3352,684,92,19,108.06521739130434,0.0687990343995172,43.25360657028155,152.27173913043478
4750,36,61,-0.25773195610585614,0.019143477399024375,1.604,2146,313,66,31,71.96969696969697,0.06589473684210527,28.814236682615633,140.63636363636363
6780,36,65,-0.2871287100284286,0.013923352631110648,1.3402654867256638,2579,488,90,24,75.33333333333333,0.071976401179941,30.16212389380531,120.63333333333334
7251,40,83,-0.34959349309273585,0.01610158397485252,1.326161908702248,2716,520,77,10,94.16883116883118,0.07171424631085367,37.69621816605681,150.3116883116883
4117,23,41,-0.2812499956054688,0.014450214492108778,1.3242652416808356,1577,301,47,1,87.59574468085107,0.0731114889482633,35.06754246791973,139.3404255319149
7735,60,18,0.5384615315581855,0.009646302249610895,1.2987718164188753,2761,498,64,48,120.859375,0.06438267614738202,48.36950307045896,186.625
3621,18,24,-0.1428571394557824,0.010991886937714765,1.307649820491577,1371,270,34,10,106.5,0.07456503728251865,42.629826014913014,165.94117647058823
5739,39,84,-0.3658536555621654,0.020293680907392562,1.2831503746297264,2126,419,55,8,104.34545454545454,0.07300923505837253,41.76738551220517,159.1818181818182
1406,10,15,-0.19999999200000032,0.016458196170863595,1.3264580369843528,531,90,17,7,82.70588235294117,0.06401137980085349,33.10795749309681,130.7058823529412
2444,8,8,0.0,0.00618477000147477,1.1914893617021276,815,153,25,0,97.76,0.06260229132569559,39.12904091653028,138.04
7763,26,60,-0.39534883261222287,0.010610734113434826,1.1921937395336855,2535,532,53,4,146.47169811320754,0.06853020739404869,58.616091328240636,207.33962264150944
7679,87,30,0.48717948301555997,0.01454500248451703,1.2310196640187525,2699,551,72,29,106.65277777777777,0.07175413465294961,42.68981276497229,155.48611111111111
5876,27,20,0.14893616704391135,0.007430830038350857,1.3090537780803269,2155,393,53,17,110.86792452830188,0.06688223281143635,44.373922704445334,171.9433962264151
3604,26,19,0.1555555520987655,0.011993603408317271,1.1886792452830188,1200,269,29,9,124.27586206896552,0.0746392896781354,49.74020054345746,172.86206896551724
1850,10,10,0.0,0.010141987824471607,1.172972972972973,630,137,10,0,185.0,0.07405405405405406,74.02962162162162,255.9
1412,9,8,0.05882352595155729,0.011206328272111847,1.3923512747875355,546,91,16,0,88.25,0.06444759206798867,35.3257790368272,147.9375
1780,3,16,-0.684210490304711,0.01004228329278949,1.3292134831460674,728,136,17,4,104.70588235294117,0.07640449438202247,41.91291473892928,166.76470588235293
1223,7,7,0.0,0.010687022892605326,1.2747342600163531,456,87,10,2,122.3,0.07113654946852004,48.94845461978741,186.2
1295,8,12,-0.1999999900000005,0.014440433202570083,1.3158301158301158,489,89,17,2,76.17647058823529,0.06872586872586872,30.498078582784462,119.23529411764706
1135,7,2,0.5555554938271674,0.007425742568130575,1.0951541850220263,369,80,10,0,113.5,0.07048458149779736,45.42819383259912,147.0
3987,16,51,-0.522388051904656,0.015963783651188043,1.2826686731878605,1473,285,41,6,97.2439024390244,0.07148231753197894,38.92615390262255,149.26829268292684
1937,8,20,-0.4285714132653067,0.013403542358351584,1.378936499741869,767,142,18,2,107.61111111111111,0.073309241094476,43.07376814088224,178.11111111111111
7653,40,65,-0.23809523582766443,0.012967765837598151,1.28171958709003,2888,576,77,13,99.3896103896104,0.07526460211681693,39.78594999669089,151.8961038961039
2768,8,25,-0.5151514995408637,0.01117886178483101,1.273121387283237,959,182,33,3,83.87878787878788,0.0657514450867052,33.57781572954983,127.33333333333333
382,3,0,0.9999996666667778,0.007444168716019432,1.1204188481675392,125,26,4,0,95.5,0.06806282722513089,38.227225130890055,126.25
3215,14,11,0.11999999520000018,0.0073594347932412615,1.3017107309486782,1175,243,36,6,89.30555555555556,0.07558320373250389,35.752455503715225,138.27777777777777
4251,25,27,-0.03846153772189351,0.011591618365672844,1.2382968713243943,1484,303,53,7,80.20754716981132,0.07127734650670431,32.11152980652721,117.32075471698113
5039,39,11,0.5599999888000002,0.009359790338944254,1.2274260766025005,1782,351,50,1,100.78,0.06965667791228418,40.339862671164916,146.9
5152,29,44,-0.20547944924000755,0.013406795222514822,1.2065217391304348,1846,389,69,10,74.66666666666667,0.07550465838509317,29.89686853002071,107.40579710144928
2912,31,3,0.8235293875432533,0.01114023590722797,1.229739010989011,1039,229,28,12,104.0,0.07864010989010989,41.63145604395605,150.57142857142858
4501,35,39,-0.05405405332359388,0.015481171544878415,1.2630526549655632,1652,310,67,4,67.17910447761194,0.0688735836480782,26.899191224504012,101.28358208955224
